player,mp,tov_pct,usg_pct,off_rtg,def_rtg,DATE,OWN_TEAM,OPP_TEAM,VENUE
Giannis Antetokounmpo,39.1,18.1,29.9,128,102,2019-05-03,MIL,BOS,R
Khris Middleton,38.6,25.5,21.5,108,109,2019-05-03,MIL,BOS,R
Brook Lopez,29.3,0.0,8.6,128,111,2019-05-03,MIL,BOS,R
Nikola Mirotic,29.3,10.0,14.4,119,114,2019-05-03,MIL,BOS,R
Eric Bledsoe,27.2,19.3,32.2,56,119,2019-05-03,MIL,BOS,R
George Hill,29.0,0.0,18.7,170,119,2019-05-03,MIL,BOS,R
Pat Connaughton,28.2,0.0,16.4,129,106,2019-05-03,MIL,BOS,R
Ersan Ilyasova,13.5,0.0,9.0,194,107,2019-05-03,MIL,BOS,R
Tony Snell,5.5,0.0,23.0,67,120,2019-05-03,MIL,BOS,R
Tim Frazier,0.3,,0.0,0,120,2019-05-03,MIL,BOS,R
Kyrie Irving,41.6,12.8,32.2,105,116,2019-05-03,BOS,MIL,H
Al Horford,37.3,22.0,15.7,137,122,2019-05-03,BOS,MIL,H
Jayson Tatum,37.0,5.7,20.4,126,112,2019-05-03,BOS,MIL,H
Jaylen Brown,30.5,6.8,20.7,120,112,2019-05-03,BOS,MIL,H
Marcus Morris,29.9,33.3,17.2,114,115,2019-05-03,BOS,MIL,H
Gordon Hayward,33.4,17.0,15.1,104,121,2019-05-03,BOS,MIL,H
Terry Rozier,14.5,25.0,11.8,0,117,2019-05-03,BOS,MIL,H
Semi Ojeleye,11.0,20.0,19.4,109,121,2019-05-03,BOS,MIL,H
Daniel Theis,2.7,0.0,15.8,0,125,2019-05-03,BOS,MIL,H
Aron Baynes,2.1,0.0,20.2,0,125,2019-05-03,BOS,MIL,H
player,mp,tov_pct,usg_pct,off_rtg,def_rtg,DATE,OWN_TEAM,OPP_TEAM,VENUE
Nikola Jokic,65.0,22.7,24.9,116,114,2019-05-03,DEN,POR,R
Jamal Murray,55.0,10.8,30.8,112,122,2019-05-03,DEN,POR,R
Gary Harris,49.5,0.0,11.1,129,117,2019-05-03,DEN,POR,R
Paul Millsap,48.6,17.8,16.0,111,110,2019-05-03,DEN,POR,R
Torrey Craig,36.1,20.0,12.7,71,122,2019-05-03,DEN,POR,R
Will Barton,38.6,9.2,25.9,123,112,2019-05-03,DEN,POR,R
Malik Beasley,23.2,0.0,15.4,164,119,2019-05-03,DEN,POR,R
Monte Morris,12.1,0.0,15.2,39,124,2019-05-03,DEN,POR,R
Mason Plumlee,11.9,30.1,12.9,111,129,2019-05-03,DEN,POR,R
CJ McCollum,60.0,2.3,32.4,117,111,2019-05-03,POR,DEN,H
Damian Lillard,58.0,7.0,22.5,124,118,2019-05-03,POR,DEN,H
Enes Kanter,56.5,10.8,14.9,117,110,2019-05-03,POR,DEN,H
Al-Farouq Aminu,46.3,23.3,12.7,87,116,2019-05-03,POR,DEN,H
Maurice Harkless,44.9,11.5,17.6,114,116,2019-05-03,POR,DEN,H
Rodney Hood,23.6,0.0,21.4,180,121,2019-05-03,POR,DEN,H
Seth Curry,19.8,0.0,15.9,94,126,2019-05-03,POR,DEN,H
Zach Collins,18.5,28.7,25.7,94,98,2019-05-03,POR,DEN,H
Evan Turner,12.5,0.0,3.6,58,111,2019-05-03,POR,DEN,H
