player,mp,fg,fga,fg_pct,pts,plus_minus,usg_pct,DATE,OWN_TEAM,OPP_TEAM,VENUE
Giannis Antetokounmpo,39.1,8,13,.615,32,+7,29.9,2019-05-03,MIL,BOS,R
Khris Middleton,38.6,6,12,.500,20,+3,21.5,2019-05-03,MIL,BOS,R
Nikola Mirotic,29.3,5,9,.556,13,+1,8.6,2019-05-03,MIL,BOS,R
Brook Lopez,29.3,3,6,.500,7,+10,14.4,2019-05-03,MIL,BOS,R
Eric Bledsoe,27.2,4,15,.267,9,-9,32.2,2019-05-03,MIL,BOS,R
George Hill,29.0,9,12,.750,21,+8,18.7,2019-05-03,MIL,BOS,R
Pat Connaughton,28.2,5,11,.455,14,+6,16.4,2019-05-03,MIL,BOS,R
Ersan Ilyasova,13.5,1,2,.500,5,+6,9.0,2019-05-03,MIL,BOS,R
Tony Snell,5.5,1,3,.333,2,+3,23.0,2019-05-03,MIL,BOS,R
Tim Frazier,0.3,0,0,,0,0,0.0,2019-05-03,MIL,BOS,R
Kyrie Irving,41.6,8,22,.364,29,-7,32.2,2019-05-03,BOS,MIL,H
Al Horford,37.3,4,8,.500,17,-1,15.7,2019-05-03,BOS,MIL,H
Jayson Tatum,37.0,7,14,.500,20,-15,20.4,2019-05-03,BOS,MIL,H
Jaylen Brown,30.5,6,12,.500,18,+10,20.7,2019-05-03,BOS,MIL,H
Marcus Morris,29.9,6,8,.750,16,-5,17.2,2019-05-03,BOS,MIL,H
Gordon Hayward,33.4,2,8,.250,10,-8,15.1,2019-05-03,BOS,MIL,H
Terry Rozier,14.5,0,3,.000,0,+3,11.8,2019-05-03,BOS,MIL,H
Semi Ojeleye,11.0,2,4,.500,6,-8,19.4,2019-05-03,BOS,MIL,H
Daniel Theis,2.7,0,1,.000,0,0,15.8,2019-05-03,BOS,MIL,H
Aron Baynes,2.1,0,1,.000,0,-4,20.2,2019-05-03,BOS,MIL,H
player,mp,fg,fga,fg_pct,pts,plus_minus,usg_pct,DATE,OWN_TEAM,OPP_TEAM,VENUE
Nikola Jokic,65.0,13,25,.520,33,+5,24.9,2019-05-03,DEN,POR,R
Jamal Murray,55.0,14,32,.438,34,+6,30.8,2019-05-03,DEN,POR,R
Gary Harris,49.5,6,12,.500,13,+3,11.1,2019-05-03,DEN,POR,R
Paul Millsap,48.6,8,13,.615,17,-8,16.0,2019-05-03,DEN,POR,R
Torrey Craig,36.1,2,8,.250,4,0,12.7,2019-05-03,DEN,POR,R
Will Barton,38.6,8,18,.444,22,-4,25.9,2019-05-03,DEN,POR,R
Malik Beasley,23.2,3,6,.500,11,-3,15.4,2019-05-03,DEN,POR,R
Monte Morris,12.1,0,4,.000,0,-4,15.2,2019-05-03,DEN,POR,R
Mason Plumlee,11.9,0,1,.000,3,-10,12.9,2019-05-03,DEN,POR,R
CJ McCollum,60.0,16,39,.410,41,+6,32.4,2019-05-03,POR,DEN,H
Damian Lillard,58.0,10,24,.417,28,+4,22.5,2019-05-03,POR,DEN,H
Enes Kanter,56.5,8,16,.500,18,+2,14.9,2019-05-03,POR,DEN,H
Al-Farouq Aminu,46.3,2,9,.222,6,+6,12.7,2019-05-03,POR,DEN,H
Maurice Harkless,44.9,6,14,.429,15,-1,17.6,2019-05-03,POR,DEN,H
Rodney Hood,23.6,6,8,.750,19,+2,21.4,2019-05-03,POR,DEN,H
Seth Curry,19.8,1,6,.167,5,-1,15.9,2019-05-03,POR,DEN,H
Zach Collins,18.5,3,7,.429,8,+3,25.7,2019-05-03,POR,DEN,H
Evan Turner,12.5,0,1,.000,0,-6,3.6,2019-05-03,POR,DEN,H
